Comment,Designator,Footprint,LCSC Part #
100nF Unpolarized capacitor,"C1,C2,C5,C6,C8",C_0805_2012Metric,C49678
22uF 6.3V Unpolarized capacitor,"C3,C4",CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,C126948
1uF Unpolarized capacitor,"C9,C10",C_0805_2012Metric,C28323
"RGB RGB LED, 6 pin package",D1,LED_RGB_5050-6,C219409
LL4148 Diode,"D2,D5",D_MiniMELF,C9808
YELLOW LED Light emitting diode,"D3,D4,D6",LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C72038
"D_Zener_Small Zener diode, small symbol",D7,D_5W_P10.16mm_Horizontal,
"NUP2105LT1G Dual Line CAN Bus Protector, 24Vrwm",D8,SOT-23,C14486
"Fuse, 1.85A Resettable fuse, polymeric positive temperature coefficient",F1,Fuse_2920_7451Metric,C262041
"ScrewTerminal Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","J1,J4,J5,J7,J12,J14",Terminal-Block_3.81_4P_LCSC_C395880,C395880
"ScrewTerminal3Pin Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","J2,J3",Terminal-Block_5.0mm_3P-LCSC_C395850,C395850
AVR-ISP-6 Atmel 6-pin ISP connector,J6,PinHeader_2x03_P2.54mm_Vertical,
2x3 2.54mm IDC Connectors Atmel 6-pin ISP connector,J8,PinHeader_2x03_P2.54mm_Vertical,C132438
"Conn_01x06_Female Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)",J9,PinHeader_1x06_P2.54mm_Vertical,
"Conn_01x02_Female Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",J10,PinHeader_1x02_P2.54mm_Horizontal,C376120
"Conn_01x03_Female Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",J11,PinHeader_1x03_P2.54mm_Vertical,
"Conn_01x02_Female Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","J13,JP2,JP3",PinHeader_1x02_P2.54mm_Vertical,
